5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team infiltrates Noboru's castle.
2) As they near the main castle keep, Noboru receives a pigeon from his spies.
3) The letter shocks Noboru immensely. Masaru was publicly excecuted.
4) Noboru senses the end approaching and flees to the top of the keep.
5) As the team climbs the keep to assassinate him, Noboru curses his fate.
6) We learn the story of Noboru's betrayal through his words.
7) In the end, the team reaches him and exacts revenge."
vocs_over_over_	_n09	vocs_over_over_finalcastle_debriefing_n09				TRAPPER	a bit surprised		あたしたちは戻らないの？
vocs_over_over_	_n10	vocs_over_over_finalcastle_debriefing_n10				GEISHA	elegant		あなた次第よ。私たちは上様の命通りに動いたわ。でもそれは武源様がいたからよ。
vocs_over_over_	_n11	vocs_over_over_finalcastle_debriefing_n11				NINJA	calm		あんたの言うことも一理ある。これまでと同じようにはいかないだろう。
vocs_over_over_	_n12	vocs_over_over_finalcastle_debriefing_n12				GEISHA	friendly		私はこの付き合いも悪くないって思ってきたところよ。色んな事情でバラバラになってくのを見るよりは、自分でしっかりお別れを言いたいわ。
vocs_over_over_	_n13	vocs_over_over_finalcastle_debriefing_n13				ALCHEMIST	agrees		それが賢明かもしれんのう。
vocs_over_over_	_n14	vocs_over_over_finalcastle_debriefing_n14				TRAPPER	a bit worried		愛琥さんはどうするの？あたしたちが一緒に行かなくても将軍様は怒らない？
vocs_over_over_	_n15	vocs_over_over_finalcastle_debriefing_n15				GEISHA	kind		大丈夫、雪ちゃん。私にはまだ取引できるものがあるから。この程度の命令違反は見逃してくれることを願うわ。
vocs_over_over_	_n16	vocs_over_over_finalcastle_debriefing_n16				NINJA	calm		それじゃあ…ここでお別れか？
vocs_over_over_	_n17	vocs_over_over_finalcastle_debriefing_n17				ALCHEMIST	cheerful		この先の道のりは長いぞ…
vocs_over_over_	_n18	vocs_over_over_finalcastle_debriefing_n18				ALCHEMIST	cheerful		もうちょっとばかり旅を続けて、この先でお別れするのはどうかのう？
vocs_over_over_	_n19	vocs_over_over_finalcastle_debriefing_n19				TRAPPER	excited		うん！そうしていい、愛琥さん？いいよね？
vocs_over_over_	_n20	vocs_over_over_finalcastle_debriefing_n20				GEISHA	pleased		私は反対しないわ。貴方はどうするの、隼人さん？
vocs_over_over_	_n21	vocs_over_over_finalcastle_debriefing_n21				NINJA	smug		もちろん。あんたらを見守る者が他にいないみたいだからな…。
vocs_over_over_	_n22	vocs_over_over_finalcastle_debriefing_n22				NINJA	smug		あー…少しくらいなら予定を空けてやらんこともない…。
vocs_over_over_	_n23	vocs_over_over_finalcastle_debriefing_n23				NINJA	smug		もちろん。俺がいなきゃ困るみたいだからな…。
vocs_over_over_	_n24	vocs_over_over_finalcastle_debriefing_n24				NINJA	smug		ふっ…まあ良いだろう。案内するぜ…。
									
DEBRIEFING1a									バリエーション for debriefing
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_finalcastle_debriefing1a_n00				ALCHEMIST	poetic	watches Noboru die	閑かさや…岩にしみ入る…蝉の声。
vocs_over_over_	_n01	vocs_over_over_finalcastle_debriefing1a_n01				GEISHA	duty fulfilled	Takuma starts leaving. cam to balcony, all 3 standing there	終わったのね。
vocs_over_over_	_n03	vocs_over_over_finalcastle_debriefing1a_n03				TRAPPER	curious		次は？
vocs_over_over_	_n04	vocs_over_over_finalcastle_debriefing1a_n04				NINJA	focussed		ここを離れないと、誰かが探しに来る前に。
								fade to scene outside castle	
vocs_over_over_	_n05	vocs_over_over_finalcastle_debriefing1a_n05				TRAPPER	curious	runs to greet Takuma, who's waiting for them.	巧磨先生！
vocs_over_over_	_n06	vocs_over_over_finalcastle_debriefing1a_n06				ALCHEMIST	cheerful		雪ちゃん！皆無事に出てこれて安心したわい。
vocs_over_over_	_n07	vocs_over_over_finalcastle_debriefing1a_n07				GEISHA	elegant		これで私たちの役目は終わりね。あとは上様への報告だけよ。
vocs_over_over_	_n08	vocs_over_over_finalcastle_debriefing1a_n08				NINJA	determined		俺は…行けない。
vocs_over_over_	_n09	vocs_over_over_finalcastle_debriefing1a_n09				TRAPPER	a bit surprised		へ？…何で？あたしたち将軍様の命通りにやったでしょ？
vocs_over_over_	_n10	vocs_over_over_finalcastle_debriefing1a_n10				NINJA	calm		俺は上様のために動いたんじゃない。俺自身、それから…分かるだろう？
vocs_over_over_	_n11	vocs_over_over_finalcastle_debriefing1a_n11				NINJA	calm		誤解しないで欲しい。あんたたちが嫌いとかそういうわけじゃない。でもここから先は…。
vocs_over_over_	_n12	vocs_over_over_finalcastle_debriefing1a_n12				GEISHA	friendly		…これまでと同じようにはいかない。分かるわ、隼人さん。
vocs_over_over_	_n13	vocs_over_over_finalcastle_debriefing1a_n13				ALCHEMIST	agrees		ではワシらも隼人に倣うとするかのう、雪ちゃん。 
vocs_over_over_	_n14	vocs_over_over_finalcastle_debriefing1a_n14				TRAPPER	a bit worried		でも…将軍様はあたしたちを探しに来ない？
vocs_over_over_	_n15	vocs_over_over_finalcastle_debriefing1a_n15				GEISHA	kind	knows the Shogun will forgive them	大丈夫、雪ちゃん。上様には報告はするけれど。私にはまだ取引できるものがあるから。上様がそれを受け取れば、このくらいの命令違反は見逃してくれるかも。
vocs_over_over_	_n16	vocs_over_over_finalcastle_debriefing1a_n16				TRAPPER	sad		じゃあ…これでお別れなの？
vocs_over_over_	_n17	vocs_over_over_finalcastle_debriefing1a_n17				ALCHEMIST	has an idea, likes it		この先の道のりは長いぞ…。
vocs_over_over_	_n18	vocs_over_over_finalcastle_debriefing1a_n18				ALCHEMIST	cheerful		もうちょっとばかり旅を続けて、この先でお別れするのはどうかのう？
vocs_over_over_	_n19	vocs_over_over_finalcastle_debriefing1a_n19				TRAPPER	excited		うん！そうしていい、愛琥さん？いいよね？
vocs_over_over_	_n20	vocs_over_over_finalcastle_debriefing1a_n20				GEISHA	amused		私は反対しないわ。貴方はどうするの、隼人さん？
vocs_over_over_	_n21	vocs_over_over_finalcastle_debriefing1a_n21				NINJA	smug		へっ…まあいいだろう。あと数里くらいなら我慢してやらんこともない…。
									
									
									
									
									
									
