5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Takuma wants revenge on Yabu.
2) Yabu lets someone commit Seppuku, setting up later Seppuku scenes
3) We learn Yabu is not Kage-Sama. Takuma wants to kill him anyway.
4) Killing Yabu fills Takuma with triumph, but he feels empty in the end.
5) Later, he will find new meaning in life by taking Yuki under his wing."
vocs_over_over_	_n00	vocs_over_over_mansion_revenge2_n00	omuk	hambo		DAIMYO	panicking	very unpleasant death	毒か！…おのれカタワめ。…お、おのれぇ…。
vocs_over_over_	_n01	vocs_over_over_mansion_revenge2_n01	omuk	hambo		NINJA	plain		ふん…不快な最期だったぜ。
vocs_over_over_	_n02	vocs_over_over_mansion_revenge2_n02	omuk	hambo		TRAPPER	uncomfortable		中には何が入っていたの？
vocs_over_over_	_n03	vocs_over_over_mansion_revenge2_n03	omuk	hambo		ALCHEMIST	cheerful		ああ、ちと痛みを入れておいたんじゃよ、誰がやったかわかるようにのお。
vocs_over_over_	_n03a	vocs_over_over_mansion_revenge2_n03a	omuk	hambo		ALCHEMIST	"mysterious
bordering on creepy"	ALTERNATIVE	ああ、長年の痛みじゃよ。濃縮して引き出した奴じゃ。これで誰がやったのかわかったじゃろうよ、へっへっへ。
vocs_over_over_	_n04	vocs_over_over_mansion_revenge2_n04	omuk	hambo		TRAPPER	uncomfortable		怖いわ、巧磨先生。
vocs_over_over_	_n05	vocs_over_over_mansion_revenge2_n05	omuk	hambo		ALCHEMIST	cheerful		へっへ、ワシにとっては喜びじゃ。
									
GUNS									Right after Revenge1 or Revenge2
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_guns_n00	omuk	hambo		SAMURAI	tense		藪様が殺された！暗殺者を見つけろ!
vocs_over_over_	_n01	vocs_over_over_mansion_guns_n01	omuk	hambo		NINJA	tense		警報か。火縄銃を試す時だな。
vocs_over_over_	_n02	vocs_over_over_mansion_guns_n02	omuk	hambo		ALCHEMIST	cheerful		いい考えじゃの。
vocs_over_over_	_n03	vocs_over_over_mansion_guns_n03	omuk	hambo		TRAPPER	excited		これも音が静かなの？足の銃と同じ感じなの？
vocs_over_over_	_n04	vocs_over_over_mansion_guns_n04	omuk	hambo		ALCHEMIST	warning		残念じゃがそうでもないのう。狙いは慎重にな。
									
ESCAPE1									The team has to sneak through guards on high alert
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_escape1_n00	omuk	hambo		ALCHEMIST	thinking	Takuma first	へっへ、見張りがたくさんじゃの。
vocs_over_over_	_n01	vocs_over_over_mansion_escape1_n01	omuk	hambo		TRAPPER	anxious	Yuki first	私たちを探しているのね。
vocs_over_over_	_n02	vocs_over_over_mansion_escape1_n02	omuk	hambo		NINJA	tense		辺りはすごい警戒状態だ。どうする、爺さん。
vocs_over_over_	_n03	vocs_over_over_mansion_escape1_n03	omuk	hambo		ALCHEMIST	cheerful		もうすぐ自由じゃよ。今は慌てんようにせんと、な？
									
ESCAPE2									The team leaves the compound.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_escape2_n00	omuk	hambo		ALCHEMIST	relieved	Takuma first	へっへ、ようやく自由じゃ。
vocs_over_over_	_n01	vocs_over_over_mansion_escape2_n01	omuk	hambo		TRAPPER	tense	Yuki first	やっと出た！
vocs_over_over_	_n02	vocs_over_over_mansion_escape2_n02	omuk	hambo		NINJA	cool		危なかった。本当に奴が死ぬのを見たかったんだな、爺さん。
vocs_over_over_	_n03	vocs_over_over_mansion_escape2_n03	omuk	hambo		ALCHEMIST	nonchalant		うーむ、人は選択をせねばならんのじゃよ。一年前にもひとつしたのぅ。
									
DEBRIEFING									The team have successfully escaped
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_mansion_debriefing_n00	omuk	hambo		NINJA	focussed		皆いるか？
vocs_over_over_	_n01	vocs_over_over_mansion_debriefing_n01	omuk	hambo		TRAPPER	relieved		ここです。
vocs_over_over_	_n02	vocs_over_over_mansion_debriefing_n02	omuk	hambo		ALCHEMIST	relieved		うむ、たしかに。
vocs_over_over_	_n03	vocs_over_over_mansion_debriefing_n03	omuk	hambo		NINJA	neutral		ってことは、終わらせたんだな。藪は死んだ。カゲサマへの次なる手がかりを探す必要があるな
vocs_over_over_	_n07	vocs_over_over_mansion_debriefing_n07	omuk	hambo		ALCHEMIST			ああ、その心配はしとらんかったの。奴はまだワシらの方にはあらわれんかもしれんの。奴に大打撃を与えたからのぅ。とにかく、武源の所へ帰ろう。
vocs_over_over_	_n08	vocs_over_over_mansion_debriefing_n08	omuk	hambo		NINJA	neutral		よし、ではここから去ろう。
									
									
									
									
									
									
									
