5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Mugen leads Noboru to the old temple where Ryūnosuke is hidden
2) We recognize it as the place where Yabu once held Takuma captive 
3) Noboru orders Masaru to kill Ryūnosuke. Mugen has to watch.
4) After the deed is done the traitors leave Mugen with the dead heir.
5) The rest of the team are held in a hidden prison
6) They can free themselves and cut their way to Mugen.
8) Mugen is glad to see them, but he has failed the Shogun and cannot carry on.
9) To take responsibility and reclaim his honor, he commits ritual suicide.
10) Striken by the loss of their leader and friend, the team escapes the monastery."
vocs_over_over_	_n28	vocs_over_over_monastery2_seppuku_n28				WARRIOR	dying	cuts his belly, takes his time, finally collapses 	…！
vocs_over_over_	_n29	vocs_over_over_monastery2_seppuku_n29				TRAPPER	crying	*quiet sobbing*	…
vocs_over_over_	_n30	vocs_over_over_monastery2_seppuku_n30				GEISHA	sad	Geisha leaves first, Ninja follows, then Takuma and Yuki	死があなたを見つけたのね。行きましょう。
									
LEADER1									Having left the main plaza, now outside the main monastery gate.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_monastery2_leader1_n00				GEISHA	urgent		まだ安全では無いわ。この場所をさりましょう。
									
LEADER2									Hayato is filled with rage. Aiko keeps him in line
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_monastery2_leader2_n00				NINJA	quiet rage		武源…畜生！
vocs_over_over_	_n01	vocs_over_over_monastery2_leader2_n01				GEISHA	urgent		…抑えて。隼人さん、今はやるべきことがあるわ。
									
LEADER3									Hayato is filled with rage. Aiko keeps him in line
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_monastery2_leader3_n00				TRAPPER	in shock		お…お侍さん…。ど、どうして…。
vocs_over_over_	_n01	vocs_over_over_monastery2_leader3_n01				GEISHA	urgent		今はやめなさい、雪ちゃん。哀れんでいる時間は無いのよ。
									
NINJATO									Hayato takes his Ninjato off a dead or unconcious enemy. (also works with Shuriken)
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_monastery2_ninjato_n00				NINJA	quiet rage		生き返れ。いいだろう。
									
ABUSE2									A temple servant is begging a guard for mercy.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_monastery2_abuse2_n00				CIVILIAN F	desperate	as temple servant	お願い、許して…。
vo_hint_hint_	_n01	vo_hint_hint_monastery2_abuse2_n01				ENEMY	angry		だまれ、女。
vo_hint_hint_	_n02	vo_hint_hint_monastery2_abuse2_n02				CIVILIAN F	desperate	as temple servant	やめてください。
vo_hint_hint_	_n03	vo_hint_hint_monastery2_abuse2_n03				ENEMY	angry		黙れと言っただろ。
vo_hint_hint_	_n04	vo_hint_hint_monastery2_abuse2_n04				CIVILIAN F	desperate	as temple servant	何もしてないじゃありませんか…。
vo_hint_hint_	_n05	vo_hint_hint_monastery2_abuse2_n05				ENEMY	angry		お前は俺のものだ、女。ひざまずけ！
vo_hint_hint_	_n06	vo_hint_hint_monastery2_abuse2_n06				CIVILIAN F	desperate	as temple servant	い…いやです…。
vo_hint_hint_	_n07	vo_hint_hint_monastery2_abuse2_n07				ENEMY	angry		黙れ！ひざまずけ。
									
ABUSE3									A guard shots a monk and two temple servants one after the other.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vo_hint_hint_	_n00	vo_hint_hint_monastery2_abuse3_n00				CIVILIAN M	terror	as monk	どうか許してください…。
vo_hint_hint_	_n01	vo_hint_hint_monastery2_abuse3_n01				CIVILIAN F	contempt	as temple servant	悪魔…。
vo_hint_hint_	_n02	vo_hint_hint_monastery2_abuse3_n02				CIVILIAN F	hopeless	as temple servant	…あんたが殺した。
vo_hint_hint_	_n03	vo_hint_hint_monastery2_abuse3_n03				ENEMY	cold		終わりだ…。
									
DEBRIEFING									The team escapes the monastery
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
vocs_over_over_	_n00	vocs_over_over_monastery2_debriefing_n00				GEISHA	slight relief		皆抜け出せたわね。
vocs_over_over_	_n01	vocs_over_over_monastery2_debriefing_n01				NINJA	quiet rage		…皆ではない。
vocs_over_over_	_n02	vocs_over_over_monastery2_debriefing_n02				TRAPPER	sad	close to crying	あの方はまだ…。
vocs_over_over_	_n03	vocs_over_over_monastery2_debriefing_n03				ALCHEMIST	consoling		しっ、雪ちゃん。もう何もできることは無いんじゃよ。
vocs_over_over_	_n04	vocs_over_over_monastery2_debriefing_n04				NINJA	tense		それで、次は？
vocs_over_over_	_n05	vocs_over_over_monastery2_debriefing_n05				GEISHA	calm		好機が訪れるのを待つべきだわ。時間が強さを取り戻してくれる。今は、この残酷な場所から離れましょう。
									
									
									
									
									
									
									
									
									
									
									
									
									
