4,2,11		"CUTSCENE
CONTEXT DIALOG
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Farming village has been attacked by rebels, survivors are questioned and killed
2) Mugen has been captured, Takuma is hiding
3) Yuki arrives in time to help Takuma
4) Together they rescue Mugen and the surviving farmers
5) Yuki is the driving force behind this mission. She motivates Takuma
6) Takuma is impressed by her simple sense of justice and eagerness to help
7) Takuma considers passing on his knowledge to her and wants to connect"																								
vocs_over_over_	_n02	vocs_over_over_ricefields_farmers_n02	omuk	hambo		WARRIOR	"reassuring
tense"	if headfarmer not free	He will live, you have my word. Now, follow our lead.	11	他不会死的，我向你保证。现在请跟我们走。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_farmers_n03	omuk	hambo		WARRIOR	"reassuring
tense"	if headfarmer free	He is already with us. Stay close and we will escape together.	12	他已经和我们在一起了。跟紧点，我们一起逃出去。	1																					
vocs_over_over_	_n04	vocs_over_over_ricefields_farmers_n04	omuk	hambo		CIVILIAN F	submissive		We will follow you.	4	我们会跟着您的。	1																					
																																	
INTERROGATE									A samurai interrogates a farmer in the backyard.		A samurai interrogates a farmer in the backyard.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vo_hint_hint_	_n00	vo_hint_hint_ricefields_interrogate_n00	omuk	hambo		SAMURAI	malicious		Who is the samurai that came to your aid?	9	来帮你的武士是谁？	1																					
vo_hint_hint_	_n01	vo_hint_hint_ricefields_interrogate_n01	omuk	hambo		HUSBAND	defiant	"Civilian M
hard voice"	I don't know who he is.	6	我不知道他是谁。	1																					
vo_hint_hint_	_n02	vo_hint_hint_ricefields_interrogate_n02	omuk	hambo		SAMURAI			Don't lie to me, peasant.	5	贱民，可不准骗我。	1																					
vo_hint_hint_	_n03	vo_hint_hint_ricefields_interrogate_n03	omuk	hambo		HUSBAND	defiant	"Civilian M
hard voice"	I only know the Shogun will send more like him. They will kill you.	14	我只知道将军会派更多武士过来，到时候你就死定了。	1																					
vo_hint_hint_	_n04	vo_hint_hint_ricefields_interrogate_n04	omuk	hambo		SAMURAI			Your defiance means nothing. We will make you talk.	9	哈哈，嘴上挑衅有什么用。我们有的是办法让你开口。	1																					
																																	
HUSBAND									The team frees the head farmer.		The team frees the head farmer.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_husband_n00	omuk	hambo		HUSBAND	pleading		Thank you, my lord. Please! Others are at the stables. My wife too…	13	谢谢您，大人。但牛棚里也关了人。我妻子，也在那……	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_husband_n01	omuk	hambo		WARRIOR	"reassuring
tense"	if farmers not free	We will free them. Now, you must do as I tell you.	12	我们会去救他们的。不过你得听我指挥。	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_husband_n02	omuk	hambo		WARRIOR	"reassuring
tense"	if farmers free	They have been freed. Now, come with us and we will escape together.	13	他们已经救出来了。来和我们一起逃出去吧。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_husband_n03	omuk	hambo		HUSBAND	submissive		I will follow your lead.	5	我会跟着您的。	1																					
																																	
ALARM									"The prison patrol discovers that someone has escaped.
(also used this for when Mugen's escape is discovered)"		The prison patrol discovers that someone has escaped.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_alarm_n00	omuk			SAMURAI	commanding		Someone escaped! Search the area!	5	有人逃跑啦！都给我搜！	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_alarm_n01	omuk			SAMURAI	commanding		Someone got free! Search the area!	6	有人逃跑啦！都给我搜！	1																					
																																	
DEBT									During the escape, halfway out the level.		During the escape, halfway out the level.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_debt_n00	omuk	hambo		HUSBAND			We can never repay you for this kindness.	8	您的大恩大德，我们要怎么报答？	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_debt_n01	omuk	hambo		WARRIOR			We have not made it to safety yet.	8	还没到安全的地方，别掉以轻心。	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_debt_n02	omuk	hambo		CIVILIAN F			We would be dead already if not for you.	9	要是没有你，我们早没命了。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_debt_n03	omuk	hambo		WARRIOR			Then spread the word, the Shogun does not abandon his people.	11	那就替我放个话吧，告诉天下百姓，将军没有抛弃他的人民。	1																					
																																	
MORE									A couple of rebel scouts enter the farm and block the exit.		A couple of rebel scouts enter the farm and block the exit.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_more_n00	omuk	hambo		OFFICER	relaxed, then tense	returning from patrol	We're back! Looks like … wait, something's wrong here!  Everyone! Block the road!	14	我们回来了！…...等等，情况不对！全员注意，封锁道路！	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_more_n01	omuk	hambo		WARRIOR	tense		Scouts, returning from patrol. Everyone, keep your distance!	8	是侦察队，他们刚巡逻回来。大家注意，别靠他们太近！	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_more_n02	omuk	hambo		ALCHEMIST	cheeky		Hmm, I told you they'd come back. He, I feel a sudden itch in my leg.	16	嗯，我说过他们会回来的吧。嘿嘿，突然觉得腿有点痒。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_more_n03	omuk	hambo		TRAPPER	tense		We're almost out! So close!	5	马上就逃出去了，还差一点！	1																					
																																	
DEBRIEFING									At the exit of the level.		At the exit of the level.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_ricefields_debriefing_n00	omuk	hambo		WARRIOR			Is everyone alright?	3	所有人都还好吧？	1																					
vocs_over_over_	_n01	vocs_over_over_ricefields_debriefing_n01	omuk	hambo		HUSBAND	nervous		Yes. Thank you, my lord, thank you.	7	是的。谢谢您，武士大人，万分感谢！	1																					
vocs_over_over_	_n02	vocs_over_over_ricefields_debriefing_n02	omuk	hambo		WARRIOR			We must all thank this brave young woman here. Her name is Yuki, and without her, none of us would be alive.	22	大家听好，我们都得感谢这位勇敢的姑娘。她的名字是友希，如果没有她，我们早已命丧黄泉。	1																					
vocs_over_over_	_n03	vocs_over_over_ricefields_debriefing_n03	omuk	hambo		TRAPPER	surprised		N-no, that's not …	4	哎？不 ，我没有……	2																					
vocs_over_over_	_n04	vocs_over_over_ricefields_debriefing_n04	omuk	hambo		CIVILIAN F	greatful	all farmers bow in gratitude	We owe you everything, Yuki-chan. I pray that we can return this kindness one day.	15	多亏有您在，友希小姐。日后一定回报您的救命之恩。	1																					
vocs_over_over_	_n05	vocs_over_over_ricefields_debriefing_n05	omuk	hambo		TRAPPER	blushing		I … ah … you're welcome.	6	啊……我……不敢当。	1																					
vocs_over_over_	_n06	vocs_over_over_ricefields_debriefing_n06	omuk	hambo		WARRIOR			Now, we should leave, before more rebels arrive.	8	那大家赶紧离开此地吧，否则叛军的人又要来了。	1																					
vocs_over_over_	_n07	vocs_over_over_ricefields_debriefing_n07	omuk	hambo		HUSBAND	cautious		Where will you take us?	5	您要带我们去哪？	1																					
vocs_over_over_	_n08	vocs_over_over_ricefields_debriefing_n08	omuk	hambo		WARRIOR		Mugen and farmers leave	We will head for Lord Noboru's camp. You will find shelter there until this matter is resolved.	17	我们将前往昇大人的军营。在叛军清缴完之前，你们可在那里避难。	1																					
vocs_over_over_	_n09	vocs_over_over_ricefields_debriefing_n09	omuk	hambo		ALCHEMIST	delighted		Well done Yuki-chan.	3	嘿嘿嘿，干得漂亮，友希姑娘。	1																					
vocs_over_over_	_n10	vocs_over_over_ricefields_debriefing_n10	omuk	hambo		TRAPPER	blushing		Thank you, Takuma-sama!	3	谢谢，琢磨大师！	1																					
																																	
									MISSION-WORDCOUNT EN:	1138		12	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
													254	0	300	0	0	0	0	0	0	0	46	6	0	115	0	33	74	58	0	0	0
													23	0	31	0	0	0	0	0	0	0	5	2	0	17	0	6	13	7	0	0	0
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
