5,2,11		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
vo_hint_hint_	_n02	vo_hint_hint_uprising_insult_n02	omuk			GENERAL	full of hate		You are no match for me, scum.	7	你们这些渣滓绝不是我的对手。	1																					
vo_hint_hint_	_n03	vo_hint_hint_uprising_insult_n03	omuk			GENERAL	full of hate		Fools. I will present your heads to Kage-sama.	8	蠢货！我要把你们的脑袋献给影大人。	1																					
vo_hint_hint_	_n04	vo_hint_hint_uprising_insult_n04	omuk			GENERAL	full of hate		You cowards will rot in the dirt.	7	你们这群胆小鬼只配在泥里烂掉。	1																					
																																	
DEBRIEFING									Okkoto has been mortally wounded. Mugen wants to question him before he dies.		Okkoto has been mortally wounded. Mugen wants to question him before he dies.																						
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	EN2	CDE																					
vocs_over_over_	_n00	vocs_over_over_uprising_debriefing_n00	omuk			GENERAL	"stubborn
hopeful"	mortally wounded	You cannot kill me, scum. Why does Kage-sama keep me waiting ...	12	我怎么会被你们这群渣滓打败。为什么影大人还不来……	1																					
vocs_over_over_	_n01	vocs_over_over_uprising_debriefing_n01	omuk			WARRIOR	direct		Don't you see? No one is coming. Kage-sama has left you to die.	13	还没醒悟吗？根本没有援兵。影大人把你当炮灰了。	1																					
vocs_over_over_	_n02	vocs_over_over_uprising_debriefing_n02	omuk			GENERAL	broken	mortally wounded	I … it cannot be ... Kage-sama. He has no honour? That treacherous coward.	14	骗人…不可能！影大人...他抛弃了荣誉？这个背信弃义的懦夫！	1																					
vocs_over_over_	_n03	vocs_over_over_uprising_debriefing_n03	omuk			WARRIOR	honest		My name is Ōshiro Mugen. You and I are both men of honour. Tell me who Kage-sama is, and I will grant you the death of a samurai.	28	在下尾城无限。你我皆是尊崇名誉的武士。告诉我影大人是谁，我可以让你保全武士名誉，自我了断。	1																					
vocs_over_over_	_n04	vocs_over_over_uprising_debriefing_n04	omuk			GENERAL	full of contempt	mortally wounded	Heh … How kind of you. But I cannot take your offer. I never saw the man's face.	18	哈哈，那还真是要谢谢你了。但我无法接受你的提议，因为我从没见过他的长相。	1																					
vocs_over_over_	_n05	vocs_over_over_uprising_debriefing_n05	omuk			WARRIOR	persistend	approaches Okkoto	Then tell me what you know.	6	那就把你知道的告诉我。	1																					
vocs_over_over_	_n08	vocs_over_over_uprising_debriefing_n08	omuk			GENERAL	bitter	mortally wounded	Damn you … there were three to our alliance: Lord Yabu, Kage-sama and I. We were gathering strength to take Edo … then assassins came for Yabu …	28	该死……我们同盟本有三人，薮大名、影大人和我。正在积攒兵力准备直捣江户……谁知薮却被刺客暗杀了……	1																					
vocs_over_over_	_n10	vocs_over_over_uprising_debriefing_n10	omuk			WARRIOR	questioning		What was the goal of your alliance? Why work to destroy peace, when we'd finally achieved it?	17	你们结盟的目的是什么？为什么要破坏来之不易的和平？	1																					
vocs_over_over_	_n11	vocs_over_over_uprising_debriefing_n11	omuk			GENERAL	bitter	mortally wounded	What is a samurai in times of peace? We are made for battle! We can only thrive in battle! … Kage-sama understood this, and so I followed him!	28	和平时代的武士还有何用？我们武士是为战而生的！只有在战斗中武士才能生存！所以绝不能有和平。影大人了解这些，所以我们愿意跟随。	1																					
vocs_over_over_	_n12	vocs_over_over_uprising_debriefing_n12	omuk			WARRIOR	direct		Yet in the end he betrayed you. This man has no honour. He must be brought to justice.	18	然而他却最终背叛了你。影大人毫无荣誉可言。必须伸张正义，将他绳之以法。	1																					
vocs_over_over_	_n13	vocs_over_over_uprising_debriefing_n13	omuk			GENERAL	full of hatred	hates Mugen, hates Kage-sama, hates that he must break his vows	Very well. We last met in a hidden camp. I have a map in my tent. Maybe you will find him there. Now honour our agreement!	26	好吧。我们最后一次见面是在一座隐营地内。在我营帐里有张地图，他也许还在那里。好了…让我保全名誉吧。	1																					
vocs_over_over_	_n14	vocs_over_over_uprising_debriefing_n14	omuk			WARRIOR	dutyful		I will do what must be done. Take this …	10	我答应过的绝不反悔。拿好这个……	1																					
vocs_over_over_	_n15	vocs_over_over_uprising_debriefing_n15	omuk			WARRIOR		gives Okkoto his short blade then goes into position	I will assist you. Everyone, bear witness!	7	我会帮你介错。大家来帮我见证。（介錯是什麼意思？）	1																					
vocs_over_over_	_n16	vocs_over_over_uprising_debriefing_n16	omuk			GENERAL	speaks his death poem		Shall Ashura subdue a man like me? … I shall be born again … and cut off Ōshiro Mugen's head …	21	虽遇阿修罗…...敢与试角力…...吾必将重生…...取无限首级……	1																					
vocs_over_over_	_n16a	vocs_over_over_uprising_debriefing_n16a	omuk			GENERAL	speaks his death poem	ALTERNATIVE	Shall Ashura subdue a man like me? … I shall be born again … and cut off Kage-sama's head …	20	虽遇阿修罗…...敢与试角力…...吾必将重生…...取影贼首级……	1																					
vocs_over_over_	_n17	vocs_over_over_uprising_debriefing_n17	omuk			GENERAL	dying	plunges the sword in his belly	… 	2	… … 	3																					
vocs_over_over_	_n18	vocs_over_over_uprising_debriefing_n18	omuk			WARRIOR	killing	waits, then readies his sword, then decapitates Okkoto	… 	2	… … 	3																					
vocs_over_over_	_n19	vocs_over_over_uprising_debriefing_n19	omuk			NINJA	focussed	after a brief silence, Mugen walks away from Okkoto	Wonder why Kage-sama betrayed him.	5	为何影大人会背叛了他？	1																					
vocs_over_over_	_n20	vocs_over_over_uprising_debriefing_n20	omuk			WARRIOR	"excited
dutiful"		Difficult to say. If Okkoto spoke the truth, Kage-sama is now in our grasp.	14	很难说。但如果乙事说的是真话，那影大人现在已是瓮中之鳖。	1																					
vocs_over_over_	_n21	vocs_over_over_uprising_debriefing_n21	omuk			ALCHEMIST			Hmm, then we should tread carefully.	6	嗯，那就更须谨慎行事。	1																					
vocs_over_over_	_n22	vocs_over_over_uprising_debriefing_n22	omuk			TRAPPER	thinking		I wonder how Aiko-san is doing?	6	不知道爱子姐现在怎么样？	1																					
vocs_over_over_	_n23	vocs_over_over_uprising_debriefing_n23	omuk			WARRIOR			We will re-join her and Lord Noboru and return to Edo. The Shogun will know what to do.	18	去和爱子小姐，昇大人会合，返回江户吧。下一步行动要等将军决断。	1																					
																																	
									MISSION-WORDCOUNT EN:	1236		26	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
													340	0	177	0	0	131	0	0	268	0	0	44	40	16	0	47	0	0	0	0	0
													31	0	20	0	0	10	0	0	21	0	0	9	8	5	0	10	0	0	0	0	0
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
