4,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Japan, Edo Period, 1615. The Shogun wages his war for absolute power.
2) He attacks his final enemy in his castle.
3) During the siege, a ninja (Hayato) infiltrates the castle.
4) He helps a samurai (Mugen), who fought his ways inside, losing all his men.
5) Together they make their way through the castle, dodging and killing guards.
6) They are saved by a sharpshooter (Takuma) who has climbed the castle wall.
7) Together they blow open the front gate of the castle, securing victory.
8) Takuma's sniper spot is hit by a cannon and he presumably dies.
9) Hayato and Mugen are separated but vow to meet after the battle."	
vo_hint_hint_	_n02	vo_hint_hint_firstcastle_hold_n02	omuk	mo		OFFICER	tense		誰も入れるな。	
vo_hint_hint_	_n03	vo_hint_hint_firstcastle_hold_n03	omuk	mo		OFFICER	tense		門を守るんだ！	
vo_hint_hint_	_n04	vo_hint_hint_firstcastle_hold_n04	omuk	mo		OFFICER	tense		ここは通さんぞ！	
										
SURPRISE									Mugen throws the barrel down from the gate. It lands directly in front of enemy soldiers.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vo_hint_hint_	_n00	vo_hint_hint_firstcastle_surprise_n00	omuk	Mo		OFFICER	tense		なんだ…？！	
										
PLAN3									Mugen places the barrel so when it blows up it will open the way inside for the Shogunate army.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_plan3_n00	omuk	Mo		WARRIOR	relieved	has just thrown down the barrel	ぬんっ！	
vocs_over_over_	_n01	vocs_over_over_firstcastle_plan3_n01	omuk	Mo		NINJA	focussed		任せたぞ、爺さん	
vocs_over_over_	_n02	vocs_over_over_firstcastle_plan3_n02	omuk	Mo		ALCHEMIST	impressed		むっへっへ。良い余興じゃった！それじゃあ仕上げといくかの。	
										
FAIL									Takuma blows up the barrel in the wrong spot.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_fail_n00	omuk			ALCHEMIST	pondering	blames his miss on bad luck	うむ？…酒が回ったかのぉ？へっへっへっへ。	
vocs_over_over_	_n01	vocs_over_over_firstcastle_fail_n01	omuk			NINJA	tense		おい、爺さん！ふざけてる場合じゃない！	
vocs_over_over_	_n02	vocs_over_over_firstcastle_fail_n02	omuk			ALCHEMIST	reassuring		へっへ！大丈夫じゃ。次は外さんよ。	
										
DEBRIEFING									The team explodes the main castle gate and the Shogunate army rushes inside. Mugen and Hayato watch from safety as Takuma's sniper spot is hit by a cannon.	
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	
vocs_over_over_	_n00	vocs_over_over_firstcastle_debriefing_n00	omuk	Mo		WARRIOR	thrilled	watches his army rush in	我が主君の勝利なり！ついに戦乱は終結を迎える！	
vocs_over_over_	_n01	vocs_over_over_firstcastle_debriefing_n01	omuk	Mo		NINJA	smug		やったな。だが、分け前はあんたにはやらないぜ。	
vocs_over_over_	_n02	vocs_over_over_firstcastle_debriefing_n02	omuk	Mo		WARRIOR	for duty!!!		ぬはは！構わん。だが全てが終わったら盃の一杯でも交わそうではないか。達者でな、隼人殿。拙者は戦いに戻る。いざ、上様のため！	
vocs_over_over_	_n03	vocs_over_over_firstcastle_debriefing_n03	omuk	Mo		NINJA	amused		やはり、侍は死にたがりだな。	
vocs_over_over_	_n04	vocs_over_over_firstcastle_debriefing_n04	omuk	Mo		ALCHEMIST	excitement	camera shows Takuma shooting his rifle to support the Shogunate army	へっへ。歴史が変わる瞬間に立ち会えるとは！長生きをするもんじゃのう！	
vocs_over_over_	_n05	vocs_over_over_firstcastle_debriefing_n05	omuk	Mo		SAMURAI	commanding	camera moves to Shogunat troops preparing a row of siege cannons	伝令、伝令！大名藪様から北の塔を攻撃せよとのこと！	
vocs_over_over_	_n06	vocs_over_over_firstcastle_debriefing_n06	omuk	Mo		OFFICER	careful		お、お待ち下さい…そこは人がまだいるのでは？	
vocs_over_over_	_n07	vocs_over_over_firstcastle_debriefing_n07	omuk	Mo		SAMURAI	angry		命令が聞けないというのか？今すぐ大砲を用意せよ！	
vocs_over_over_	_n08	vocs_over_over_firstcastle_debriefing_n08	omuk	Mo		OFFICER	dutyful		は、はい、すぐに！	
vocs_over_over_	_n09	vocs_over_over_firstcastle_debriefing_n09	omuk	Mo		SAMURAI	commanding		撃て！	
vocs_over_over_	_n10	vocs_over_over_firstcastle_debriefing_n10	omuk	Mo		ALCHEMIST	shocked	cannonballs strike around Takuma's tower	んぉ！？何を考えておる？！	
vocs_over_over_	_n11	vocs_over_over_firstcastle_debriefing_n11	omuk	Mo		ALCHEMIST	shocked	Takuma's tower is hit by a cannon, he falls off	ぬわーーーーっっ！！	
										
										
										
